url,pageType,httpStatus,redirected,indexable,robots,canonical,title,titleLength,metaDescription,metaDescriptionLength,h1,h1Count,lang,inSitemap,sitemapLastModified,inboundInternalLinks,outboundInternalLinks,depthFromHome,inNavigation,inFooter,status,structuredDataTypes
https://sebavia.com,home,200,false,true,"index, follow",https://sebavia.com,Sebavia | Copilote intelligent pour planifier vos voyages,57,"Planifiez votre itinéraire, vos arrêts de carburant, vos activités et votre météo avec Sebavia, le copilote intelligent conçu au Québec.",136,Votre voyage commencepar une conversation.,1,fr,true,2026-07-24T12:00:00.000Z,22,16,0,true,true,conforme,Organization|WebApplication|WebSite
https://sebavia.com/fonctionnalites,product,200,false,true,"index, follow",https://sebavia.com/fonctionnalites,Fonctionnalités Sebavia | Planificateur de voyages routiers,59,"Découvrez les fonctionnalités de Sebavia : assistant intelligent, itinéraires personnalisés, activités, météo et estimation du carburant.",137,Tout ce qu’il faut pour planifier votre voyage routier,1,fr,true,2026-07-24T12:00:00.000Z,22,22,1,true,true,conforme,BreadcrumbList|CollectionPage|ItemList
https://sebavia.com/assistant-voyage-ia,product,200,false,true,"index, follow",https://sebavia.com/assistant-voyage-ia,Assistant voyage IA | Planifiez votre road trip avec Sebavia,60,"Planifiez votre voyage en conversation avec Sebavia : destination, itinéraire, activités, météo, hébergement et estimation du carburant.",136,Assistant voyage IA : planifiez votre route en conversation,1,fr,true,2026-07-24T12:00:00.000Z,14,21,2,false,false,conforme,BreadcrumbList|FAQPage|WebPage
https://sebavia.com/planificateur-road-trip-quebec,product,200,false,true,"index, follow",https://sebavia.com/planificateur-road-trip-quebec,Planificateur de road trip au Québec | Sebavia,46,"Planifiez votre road trip au Québec avec Sebavia : itinéraire, étapes, activités, météo, hébergement et estimation du carburant.",128,Planificateur de road trip au Québec : organisez tout votre voyage,1,fr,true,2026-07-24T12:00:00.000Z,17,23,1,false,false,conforme,BreadcrumbList|FAQPage|WebPage
https://sebavia.com/calculateur-cout-carburant-voyage,product,200,false,true,"index, follow",https://sebavia.com/calculateur-cout-carburant-voyage,Calculateur de coût de carburant pour un voyage | Sebavia,57,"Estimez le coût du carburant de votre voyage selon la distance, la consommation, le véhicule, l’aller-retour et les étapes du trajet.",133,Calculateur de coût de carburant pour votre voyage,1,fr,true,2026-07-24T12:00:00.000Z,15,16,1,false,false,conforme,BreadcrumbList|FAQPage|WebPage
https://sebavia.com/planifier-arrets-carburant,product,200,false,true,"index, follow",https://sebavia.com/planifier-arrets-carburant,Planifier ses arrêts de carburant en voyage | Sebavia,53,"Prévoyez vos arrêts d’essence selon le trajet, le véhicule, le réservoir et l’autonomie estimée avec le planificateur Sebavia.",126,Planifiez vos arrêts de carburant pendant le voyage,1,fr,true,2026-07-24T12:00:00.000Z,15,14,1,false,false,conforme,BreadcrumbList|FAQPage|WebPage
https://sebavia.com/meteo-voyage,product,200,false,true,"index, follow",https://sebavia.com/meteo-voyage,Météo de voyage et prévisions du trajet | Sebavia,49,Consultez les prévisions météo au départ et à destination selon les dates de votre voyage routier avec le planificateur Sebavia.,128,Météo de voyage : préparez votre trajet selon les prévisions,1,fr,true,2026-07-24T12:00:00.000Z,14,15,1,false,false,conforme,BreadcrumbList|FAQPage|WebPage
https://sebavia.com/guides,guides_hub,200,false,true,"index, follow",https://sebavia.com/guides,Guides de voyage routier | Sebavia,34,"Guides pratiques pour préparer vos road trips au Québec : checklists, conseils de préparation et liens vers les outils Sebavia.",127,Guides pour préparer vos voyages routiers,1,fr,true,2026-07-24T12:00:00.000Z,22,21,1,false,true,conforme,BreadcrumbList|CollectionPage
https://sebavia.com/guides/checklist-road-trip-quebec,guide,200,false,true,"index, follow",https://sebavia.com/guides/checklist-road-trip-quebec,Checklist road trip Québec : quoi préparer avant de partir | Sebavia,68,"Checklist pratique pour un road trip au Québec : véhicule, documents, itinéraire, carburant, météo, bagages et dernières vérifications avant le départ.",151,Checklist road trip au Québec,1,fr,true,2026-07-24T12:00:00.000Z,6,21,2,false,false,conforme,Article|BreadcrumbList|WebPage
https://sebavia.com/guides/budget-road-trip-quebec,guide,200,false,true,"index, follow",https://sebavia.com/guides/budget-road-trip-quebec,Budget road trip au Québec : coûts à prévoir | Sebavia,54,"Préparez le budget de votre road trip au Québec : carburant, hébergement, repas, activités, stationnement et marge pour les imprévus.",133,Budget road trip au Québec : les coûts à prévoir,1,fr,true,2026-07-24T12:00:00.000Z,11,21,2,false,false,conforme,Article|BreadcrumbList|WebPage
